nickname,type,obj,survey,ra_deg,dec_deg,host_z_spec,sheet_zphot,internal_flags,exists,best_z,best_z_source,foreground_verdict,ned_sep_as,ned_name,ned_type,ned_z,lsdr9_sep_as,lsdr9_type,lsdr9_zphot,lsdr9_zphot_std,lsdr9_zspec,desi_sep_as,desi_specz,desi_zerr,desi_spectype,simbad_sep_as,simbad_otype,simbad_z
casey,halo,192821699728654764,"WISE, PS1, STRM",169.9727442,70.68666126,0.287,0.36087847,ZPHOT_GE_ZHOST,True,0.374673992395401,lsdr9_zphot,refuted,0.61,WISEA J111953.45+704112.5,IrS,,0.04,REX,0.374673992395401,0.04914899915456772,,,,,,,,
casey,halo,192821700026167542,"WISE, PS1, STRM",170.002558,70.68897047,0.287,0.19447789,,True,0.202814403668982,desi_specz,confirmed,0.12,WISEA J112000.59+704120.2,IrS,,0.0,SER,0.20517000555992126,0.013825999572873116,,0.03,0.202814403668982,5.208357834566213e-05,GALAXY,,,
casey,halo,192831699797402822,"WISE, PS1, STRM",169.9798302,70.69339484,0.287,0.2116047,,True,0.23975199460983276,lsdr9_zphot,confirmed,0.06,WISEA J111955.15+704136.1,IrS,,0.01,SER,0.23975199460983276,0.011958999559283257,,,,,,,,
casey,halo,660,Legacy DR8 (Zhou et al. 2021),169.9853195,70.67629673,0.287,0.4209753,ZPHOT_GE_ZHOST,True,0.3727380037307739,lsdr9_zphot,refuted,0.13,WISEA J111956.50+704034.6,IrS,,0.01,REX,0.3727380037307739,0.06695900112390518,,,,,,,,
casey,halo,795,Legacy DR8 (Zhou et al. 2021),169.97277,70.68665467,0.287,0.416788,ZPHOT_GE_ZHOST,True,0.374673992395401,lsdr9_zphot,refuted,0.64,WISEA J111953.45+704112.5,IrS,,0.0,REX,0.374673992395401,0.04914899915456772,,,,,,,,
casey,halo,796,Legacy DR8 (Zhou et al. 2021),169.976151,70.6861149,0.287,0.42996007,ZPHOT_GE_ZHOST,True,0.421671986579895,lsdr9_zphot,refuted,4.84,WISEA J111953.45+704112.5,IrS,,0.02,REX,0.421671986579895,0.09531299769878387,,,,,,,,
casey,halo,827,Legacy DR8 (Zhou et al. 2021),169.97983,70.69339832,0.287,0.23264669,,True,0.23975199460983276,lsdr9_zphot,confirmed,0.07,WISEA J111955.15+704136.1,IrS,,0.0,SER,0.23975199460983276,0.011958999559283257,,,,,,,,
casey,halo,824,Legacy DR8 (Zhou et al. 2021),170.0025556,70.68896879,0.287,0.20569403,,True,0.202814403668982,desi_specz,confirmed,0.11,WISEA J112000.59+704120.2,IrS,,0.01,SER,0.20517000555992126,0.013825999572873116,,0.04,0.202814403668982,5.208357834566213e-05,GALAXY,,,
casey,halo,825,Legacy DR8 (Zhou et al. 2021),170.0000823,70.69033887,0.287,0.35723287,ZPHOT_GE_ZHOST,True,0.3482950031757355,lsdr9_zphot,inconclusive,,,,,0.36,REX,0.3482950031757355,0.20311899483203888,,,,,,,,
casey,cluster,"J111929.5+705441, 1237905","DESI, WISE (Wen et al. 2024)",169.87289,70.91131,0.287,0.2192,IMPACT_GT_R500,True,0.2161681592953575,desi_specz,confirmed,0.17,WISEA J111929.47+705440.5,G,,0.02,SER,0.2191839963197708,0.005102999974042177,,38.61,0.2161681592953575,7.460362593286919e-05,GALAXY,57.67,*,
casey,cluster,"J112235.5+705438, 1239515","DESI, WISE (Wen et al. 2024)",170.6479,70.91058,0.287,0.2236,IMPACT_GT_R500,True,0.2158435784763192,desi_specz,confirmed,0.04,WISEA J112235.49+705438.0,IrS,,0.02,SER,0.2286040037870407,0.02232399955391884,,0.06,0.2158435784763192,3.598344049301566e-05,GALAXY,,,
casey,cluster,"J112350.9+704142, 1240175","DESI, WISE (Wen et al. 2024)",170.96191,70.69499,0.287,0.2191,IMPACT_GT_R500,True,0.2132708317633555,desi_specz,confirmed,0.52,WISEA J112350.87+704142.4,IrS,,0.01,SER,0.21309299767017365,0.005650999955832958,,9.27,0.2132708317633555,4.246560302865915e-05,GALAXY,0.21,G,
casey,cluster,"J111930.9+702041, 1237924","DESI, WISE (Wen et al. 2024)",169.87859,70.34475,0.287,0.1825,IMPACT_GT_R500,True,0.09073318845268824,desi_specz,confirmed,0.16,WISEA J111930.87+702040.9,IrS,,0.02,SER,0.18072499334812164,0.010851999744772911,,79.92,0.09073318845268824,4.222006098930055e-06,GALAXY,57.85,G,
