burst,subband,center_freq_mhz,n_preferred,component,dnu_mhz,dnu_err_mhz,modulation_m,modulation_err,fit_range_mhz,selected_bic,selected_redchi,quality_flags
oran,3,1458.7654647566335,2,2,503.674896332996,37518.30803426689,20.441828919598578,1519.389971356211,25.0,60.52650545690109,1.0398471806062464,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;modulation_gt_3;fractional_mod_err_gt_1
phineas,0,1329.197257040534,1,1,7.044478935425509,0.9653013038344797,0.6690745784111967,0.023207089375789573,17.886211948559335,11.78619803681813,0.9926448347464775,
phineas,1,1376.1867165879864,1,1,18.383216052116964,12.599435026868834,0.49239059904055105,0.14621433943912382,25.0,23.983126028802154,1.0084166409064117,
phineas,2,1451.989459547452,1,1,3.434877025297661,1.6859931115642541,0.5759280604772468,0.07755819706597632,25.0,27.784744059539477,1.0131083699248347,
whitney,0,1371.5320283249225,1,1,29.462926346250832,4.704041909239527,0.7367462126571971,0.0743160177940994,25.0,-41.77491039353447,0.9306153692575918,dnu_exceeds_fit_window
whitney,1,1465.2972895979162,1,1,23.365065914836734,1.0316010660265666,0.8266115801955416,0.01955512387485491,25.0,-113.6836299202214,0.852391067010143,
wilhelm,0,1331.9748087253786,1,1,0.3288312882766691,0.06474801409448133,0.18129802722531663,0.012709263623239726,20.480628357480047,66.46383083554643,1.0772726932211196,
wilhelm,1,1377.5144473384337,1,1,1.014537745752499,0.29534120456603025,0.11595461773937665,0.011056158620839356,24.5859107927722,100.57913959409349,1.109314086425168,
wilhelm,2,1424.122375061045,1,1,3.780166111644024,0.43587595798425915,0.1534891690201894,0.00453912281009343,21.60996255901016,68.3084847886527,1.075644734799318,
wilhelm,3,1472.3479977209834,2,1,0.3991977900584136,0.10666184658242134,0.1699527052510037,0.014115461484242036,25.0,-44.72459690864754,0.9144449919944702,
wilhelm,3,1472.3479977209834,2,2,14.714516442916421,0.9020052658767705,0.28563295577379,0.005416790553169948,25.0,-44.72459690864754,0.9144449919944702,
zach,0,1331.6237994465243,1,1,0.2035424784801494,0.05175694012065442,0.6668270504001421,0.11514041050424455,20.25170926257525,-483.71472969117804,0.4702706834925116,
zach,1,1365.8395734982907,2,1,0.7657953984182979,0.07070201616403006,0.8896014507894014,0.030279195987317636,13.811452059254407,405.1078407100732,2.315789444900405,
zach,1,1365.8395734982907,2,2,50.455686487674654,105.4636521368669,1.7175532286462158,3.3498865161602343,13.811452059254407,405.1078407100732,2.315789444900405,dnu_exceeds_fit_window;fractional_dnu_err_gt_1;fractional_mod_err_gt_1
zach,2,1410.7687611916003,2,1,0.6637029357026827,0.06120707056885694,0.6492426879925766,0.018841255626158643,25.0,97.4263710842664,1.087768708371682,
zach,2,1410.7687611916003,2,2,21.577164459987614,4.83931408616953,0.4631748904293207,0.047432511740700296,25.0,97.4263710842664,1.087768708371682,
zach,3,1470.3182484128276,2,1,0.6722223525432387,0.08536759456413967,0.6867500904240003,0.028295810933499876,25.0,529.2934579704593,1.8430812842257864,
zach,3,1470.3182484128276,2,2,15.77649451122898,4.008967297087957,0.41923786519906003,0.03253197700793569,25.0,529.2934579704593,1.8430812842257864,
