arc_path,arc_basename,burst_nickname_guess,iacobus_match,notes
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/whitney_chime_I_462_174_32000b_cntr_bpc.npy,whitney_chime_I_462_174_32000b_cntr_bpc.npy,whitney,whitney_220310aaam,nickname whitney ↔ 1 iacobus entry/entries; TNS date code 220310; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/whitney_chime_I_462_1891_32000b_cntr_bpc.npy,whitney_chime_I_462_1891_32000b_cntr_bpc.npy,whitney,whitney_220310aaam,nickname whitney ↔ 1 iacobus entry/entries; TNS date code 220310; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/wilhelm_I_602_346_32000b.npy,wilhelm_I_602_346_32000b.npy,wilhelm,wilhelm_221203aaaa,nickname wilhelm ↔ 1 iacobus entry/entries; TNS date code 221203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/wilhelm_I_602_3809_32000b.npy,wilhelm_I_602_3809_32000b.npy,wilhelm,wilhelm_221203aaaa,nickname wilhelm ↔ 1 iacobus entry/entries; TNS date code 221203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/wilhelm_chime_I_602_346_32000b_cntr_bpc.npy,wilhelm_chime_I_602_346_32000b_cntr_bpc.npy,wilhelm,wilhelm_221203aaaa,nickname wilhelm ↔ 1 iacobus entry/entries; TNS date code 221203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/wilhelm_chime_I_602_3809_32000b_cntr_bpc.npy,wilhelm_chime_I_602_3809_32000b_cntr_bpc.npy,wilhelm,wilhelm_221203aaaa,nickname wilhelm ↔ 1 iacobus entry/entries; TNS date code 221203; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/uncorrected/zach_I_262_3621_32000b.npy,zach_I_262_3621_32000b.npy,zach,zach_220207aabh,nickname zach ↔ 1 iacobus entry/entries; TNS date code 220207; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/uncorrected/zach_I_262_368_32000b.npy,zach_I_262_368_32000b.npy,zach,zach_220207aabh,nickname zach ↔ 1 iacobus entry/entries; TNS date code 220207; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmphase/zach_chime_I_262_3621_32000b_cntr_bpc.npy,zach_chime_I_262_3621_32000b_cntr_bpc.npy,zach,zach_220207aabh,nickname zach ↔ 1 iacobus entry/entries; TNS date code 220207; namespace differs from arc _chime_I_ fit naming
arc:home/jfaber/baseband_morphologies/chime_dsa_codetections/data/CHIME_bursts/dmtransform/zach_chime_I_262_368_32000b_cntr_bpc.npy,zach_chime_I_262_368_32000b_cntr_bpc.npy,zach,zach_220207aabh,nickname zach ↔ 1 iacobus entry/entries; TNS date code 220207; namespace differs from arc _chime_I_ fit naming
