name,TNS,MJD,Localization,z_spectroscopic,Localization,RA_deg,Dec_deg,z_spectroscopic,gamma_1.4GHz_MHz,gamma_1.4GHz_err_MHz,gamma_1.4GHz_NE2001_MHz,tau_1GHz_ms,tau_1GHz_std_ms
IGH,192821699728654764,"WISE, PS1, STRM",,,206.4431166,169.9727442,70.68666126,0.36087847,GALAXY,0.9912005,0.004339937,0.004459632,
IGH,192821700026167542,"WISE, PS1, STRM",,,170.6291817,170.002558,70.68897047,0.19447789,GALAXY,0.9997733,2.78E-05,0.00019878693,
IGH,192831699797402822,"WISE, PS1, STRM",,,220.6890024,169.9798302,70.69339484,0.2116047,GALAXY,0.9619372,0.03693044,0.0011323288,
IGH,660,Legacy DR8 (Zhou et al. 2021),,,12.19643572,169.9853195,70.67629673,0.4209753,REX,,,,
IGH,795,Legacy DR8 (Zhou et al. 2021),,,225.4015286,169.97277,70.68665467,0.416788,REX,,,,
IGH,796,Legacy DR8 (Zhou et al. 2021),,,212.1957134,169.976151,70.6861149,0.42996007,REX,,,,
IGH,827,Legacy DR8 (Zhou et al. 2021),,,237.2425517,169.97983,70.69339832,0.23264669,DEV,,,,
IGH,824,Legacy DR8 (Zhou et al. 2021),,,178.2523414,170.0025556,70.68896879,0.20569403,DEV,,,,
IGH,825,Legacy DR8 (Zhou et al. 2021),,,281.4493621,170.0000823,70.69033887,0.35723287,EXP,,,,
casey,"obj_name, obj_ID",Survey,,,Impact_Parmeter_kpc,RA_deg,Dec_deg,z_photometric,r500_Mpc,lam500_richness,M500_1e14,Ngal,
IGC,"J111929.5+705441, 1237905","DESI, WISE (Wen et al. 2024)",,,3133,169.87289,70.91131,0.2192,0.766,39.61,1.78,22,
IGC,"J112235.5+705438, 1239515","DESI, WISE (Wen et al. 2024)",,,4284.68,170.6479,70.91058,0.2236,0.543,19.39,0.89,13,
IGC,"J112350.9+704142, 1240175","DESI, WISE (Wen et al. 2024)",,,4267.39,170.96191,70.69499,0.2191,0.848,46.86,2.09,31,
IGC,"J111930.9+702041, 1237924","DESI, WISE (Wen et al. 2024)",,,3804,169.87859,70.34475,0.1825,0.602,13.46,0.62,7,
