nickname,frb_name,frb_z,frb_ra_deg,frb_dec_deg,row_kind,object_id,system_type,final_verdict,system_z,candidate_ra_deg,candidate_dec_deg,impact_kpc,mass_msun,radius_kpc,radius_definition,geometry_status,budget_eligible
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,"J114928.5+712526, 1253366",cluster,confirmed,-0.0001,177.36887,71.42403,3049.6,,,,invalid_foreground_redshift,False
phineas,FRB 20230307A,0.271,177.7813333333,71.6956388889,system,WHL J115048.0+714428,cluster,confirmed,0.1893,177.69998,71.74124,614.3,,,R500c_catalog,missing_sourced_geometry,False
freya,FRB 20230325A,,88.188,74.2004722222,host,,,,,,,,,,,host_roster,False
johndoeii,FRB 20230814B,0.5535,335.97475,73.02590556,host,,,,,,,,,,,host_roster,False
hamilton,FRB 20230913A,0.3024,305.0371666667,70.7927666667,host,,,,,,,,,,,host_roster,False
mahi,FRB 20240122A,,39.7665,71.0178611111,host,,,,,,,,,,,host_roster,False
chromatica,FRB 20240203A,0.074,312.619125,73.9,host,,,,,,,,,,,host_roster,False
casey,FRB 20240229A,0.287,169.9835417,70.67622222,host,,,,,,,,,,,host_roster,False
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,192821700026167542,halo,confirmed,0.2028,170.002558,70.68897047,170.6,7077422410797.027,378.08084187204736,R200c,pass,True
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,192831699797402822,halo,confirmed,0.2398,169.9798302,70.69339484,220.7,5544095092280.866,343.79298770300375,R200c,pass,True
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,"J111929.5+705441, 1237905",cluster,confirmed,0.2162,169.87289,70.91131,3133.0,178000000000000.0,766.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,"J112235.5+705438, 1239515",cluster,confirmed,0.2158,170.6479,70.91058,4284.7,89000000000000.0,543.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,"J112350.9+704142, 1240175",cluster,confirmed,0.2133,170.96191,70.69499,4267.4,209000000000000.0,848.0,R500c_catalog,pass,False
casey,FRB 20240229A,0.287,169.9835417,70.67622222,system,"J111930.9+702041, 1237924",cluster,confirmed,0.0907,169.87859,70.34475,3804.0,62000000000000.0,602.0,R500c_catalog,pass,False
