nickname,type,obj,source_family,source_release,retrieved_at_utc,stable_source_id,source_row_sha256,query_response_sha256,adopted_z,adopted_z_err,measurement_kind,source_disposition,final_verdict,budget_eligible
casey,halo,795,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741444212955,bb8a76ddff52c285bf5aac66751de3f2a997dd9d0738fc04bf3e3c57153a32fe,d2e799ece33d4d3ad36588f1dda9838eb85f93457bd158832c35ef24a0fe7cc4,0.3747,0.0491,photometric,frozen,refuted,False
casey,halo,796,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741444212974,570ab290e76aa187e3a21416547ff109326571154edba7cec8a0a376c9fb60fb,aeae94a85c49ceed3b2a06554d3e4248dda252edf09c8a2d8dc226b07eec4ad1,0.4217,0.0953,photometric,frozen,refuted,False
casey,halo,827,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741444212992,8f353cd35692592a42e102f33ebfabce12dd519f50e17453c29a7f27fecacb37,4eb5d735d61c5fa34e611468badc24bbe7fd1d8974a5a7243f641985b36e9e61,0.2398,0.012,photometric,frozen,confirmed,True
casey,halo,824,DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633495756114277,68ba0883cb32097599de4994cafe8da733c21f499e641b260f0187e837e2a1c5,78a6324461f1871bc704a253798e6bf90698f01a5e914c8586a6f662676f9de9,0.2028,0.0001,spectroscopic,frozen,confirmed,True
casey,halo,825,Legacy Survey/Zhou21,NOIRLab Data Lab ls_dr9.tractor + ls_dr9.photo_z,2026-07-22T12:11:40+00:00,ls_id:9907741444213082,78757ded8bab4725570ebbcea274742c14bfabc7bad56dfe4bc203311bebcec4,9b6a2b603ff2025a8cd14be8dc58c70552ac6221962ebc15b62fed4c0d3b8b9d,0.3483,0.2031,photometric,frozen,inconclusive,False
casey,cluster,"J111929.5+705441, 1237905",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633497748409001,e2b6750fcec56450583768a853428e9bf96482f72fd289c95f028d7fea2cc488,de5c73b6b751c31954334cc0737d8338c24eb141cfb7f6fa9637b06ecc366eae,0.2162,0.0001,spectroscopic,frozen,confirmed,False
casey,cluster,"J112235.5+705438, 1239515",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633497752603209,8ff359c89b4579d500bc332c1c9243364b81c2d6ec85d1371bae696253441d4e,0e8ab0115df16fced8b9e8bf36a4518c0ec557e5ed1677d78faf21cc7c1cb177,0.2158,0.0,spectroscopic,frozen,confirmed,False
casey,cluster,"J112350.9+704142, 1240175",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633495760309668,cd1b10b482ae5d71145f9acf52510a50db8845f9166b37e76a3e4806647b47fd,05bf1d08b62ad88198d7bd341663889e8dc018e95f087933f73bb9758d0de0bc,0.2133,0.0,spectroscopic,frozen,confirmed,False
casey,cluster,"J111930.9+702041, 1237924",DESI,NOIRLab Data Lab desi_dr1.zpix,2026-07-22T12:11:40+00:00,targetid:39633491696026483,5d13cb777032b6245c06c84e8bfd84a1b199a07f25c69760737cfb55b2a0b4cd,6a288dfce3b38a560342277c6d5c911abfe6f8b772af129d1b3770e90519f423,0.0907,0.0,spectroscopic,frozen,confirmed,False
isha,halo,WISEA J044538.83+701843.3,extension_no_adopted_candidate_redshift,not_applicable,2026-07-22T12:11:40+00:00,not_applicable,not_applicable,not_applicable,,,no_trustworthy_redshift,no adopted redshift,inconclusive,False
oran,halo,WISEA J211150.32+724807.8,extension_no_adopted_candidate_redshift,not_applicable,2026-07-22T12:11:40+00:00,not_applicable,not_applicable,not_applicable,,,no_trustworthy_redshift,no adopted redshift,inconclusive,False
